SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,10652 Dixie Dr,Anaheim,CA,92804,799000,3,2.0,79 - Anaheim West of Harbor,1321,7200,1954,3,605,,Active,,,https://www.redfin.com/CA/Anaheim/10652-Dixie-Dr-92804/home/3596809,CRMLS,OC23172189,N,Y,33.808166,-117.9614971
MLS Listing,,Condo/Co-op,36 Elderglen #34,Irvine,CA,92604,790000,3,1.5,WB - Woodbridge,1121,,1978,3,705,586,Active,,,https://www.redfin.com/CA/Irvine/36-Elderglen-92604/unit-34/home/5499007,CRMLS,OC23162596,N,Y,33.6821461,-117.7842804
MLS Listing,,Single Family Residential,23761 Coronel Dr,Mission Viejo,CA,92691,1189800,4,2.0,MC - Mission Viejo Central,1604,5795,1971,4,742,,Active,,,https://www.redfin.com/CA/Mission-Viejo/23761-Coronel-Dr-92691/home/5080361,CRMLS,PW23164199,N,Y,33.6175852,-117.6708706
MLS Listing,,Condo/Co-op,47 Pinzon,Rancho Santa Margarita,CA,92688,699900,2,2.0,R2 - Rancho Santa Margarita Central,1100,,1990,4,636,500,Active,,,https://www.redfin.com/CA/Rancho-Santa-Margarita/47-Pinzon-92688/home/5224991,CRMLS,OC23171151,N,Y,33.6186968,-117.620219
MLS Listing,,Single Family Residential,26285 Ibeza Rd,Mission Viejo,CA,92692,1899900,4,3.5,MS - Mission Viejo South,3559,6000,1993,5,534,171,Active,,,https://www.redfin.com/CA/Mission-Viejo/26285-Ibeza-Rd-92692/home/5031841,CRMLS,OC23171111,N,Y,33.5810396,-117.6432322
MLS Listing,,Condo/Co-op,26176 Sanz Unit A,Mission Viejo,CA,92691,549900,2,2.0,MN - Mission Viejo North,693,,1985,6,794,458,Active,,,https://www.redfin.com/CA/Mission-Viejo/26176-Sanz-92691/unit-A/home/5304562,CRMLS,OC23170277,N,Y,33.6228806,-117.6734143
MLS Listing,,Condo/Co-op,6146 E Morningview Dr,Anaheim Hills,CA,92807,938700,3,3.0,77 - Anaheim Hills,2177,,1981,11,431,592,Active,,,https://www.redfin.com/CA/Anaheim/6146-E-Morningview-Dr-92807/home/5696712,CRMLS,OC23166810,N,Y,33.8415765,-117.7762402
MLS Listing,,Single Family Residential,141 Lovelace,Irvine,CA,92620,2599000,4,4.5,EASTW - Eastwood,3047,3834,2022,11,853,125,Active,,,https://www.redfin.com/CA/Irvine/141-Lovelace-92620/home/167385327,CRMLS,OC23166469,N,Y,33.71809,-117.743213
MLS Listing,,Condo/Co-op,38 Leucadia #67,Irvine,CA,92602,949000,2,2.0,NK - Northpark,1541,,2001,11,616,476,Active,,,https://www.redfin.com/CA/Irvine/38-Leucadia-92602/unit-67/home/5917733,CRMLS,OC23162526,N,Y,33.7189368,-117.7783251
MLS Listing,,Condo/Co-op,57 Golden Glen St #4,Irvine,CA,92604,675000,2,1.5,EC - El Camino Real,862,,1971,11,783,350,Active,,,https://www.redfin.com/CA/Irvine/57-Golden-Glen-St-92604/unit-4/home/5329876,CRMLS,OC23160925,N,Y,33.6925579,-117.7738543
